[----------] Global test environment set-up.
[----------] 2 tests from MathMatrix
[ RUN      ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small
[       OK ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small (1 ms)
[ RUN      ] MathMatrix.cholesky_decompose_small
N: 120 - CPU: 123566
N: 120 - CPU: 123591
N: 120 - CPU: 123510
N: 120 - CPU: 123573
N: 120 - CPU: 123886
N: 120 - CPU: 123691
N: 120 - CPU: 123847
N: 120 - CPU: 123710
N: 120 - CPU: 123377
N: 120 - CPU: 123502
N: 120 - CPU: 123614
N: 120 - CPU: 123584
N: 120 - CPU: 123608
N: 120 - CPU: 123532
N: 120 - CPU: 123647
N: 120 - CPU: 123713
N: 120 - CPU: 123687
N: 120 - CPU: 123644
N: 120 - CPU: 123487
N: 120 - CPU: 123754
N: 120 - CPU: 123538
N: 120 - CPU: 123453
N: 120 - CPU: 123564
N: 120 - CPU: 123798
N: 120 - CPU: 123464
N: 120 - CPU: 123496
N: 120 - CPU: 123349
N: 120 - CPU: 123566
N: 120 - CPU: 123609
N: 120 - CPU: 123468
N: 120 - CPU: 123714
N: 120 - CPU: 123513
N: 120 - CPU: 123643
N: 120 - CPU: 123648
N: 120 - CPU: 123565
N: 120 - CPU: 123677
N: 120 - CPU: 123381
N: 120 - CPU: 123447
N: 120 - CPU: 134418
N: 120 - CPU: 123899
N: 120 - CPU: 123752
N: 120 - CPU: 132019
N: 150 - CPU: 236674
N: 150 - CPU: 201524
N: 150 - CPU: 200681
N: 150 - CPU: 200765
N: 150 - CPU: 200572
N: 150 - CPU: 200299
N: 150 - CPU: 200213
N: 150 - CPU: 200305
N: 150 - CPU: 200134
N: 150 - CPU: 200054
N: 150 - CPU: 200216
N: 150 - CPU: 200097
N: 150 - CPU: 200117
N: 150 - CPU: 199972
N: 150 - CPU: 200582
N: 150 - CPU: 199993
N: 150 - CPU: 203121
N: 150 - CPU: 200031
N: 150 - CPU: 209453
N: 150 - CPU: 200211
N: 150 - CPU: 199903
N: 150 - CPU: 200032
N: 150 - CPU: 200139
N: 150 - CPU: 199980
N: 150 - CPU: 199935
N: 150 - CPU: 200113
N: 150 - CPU: 199993
N: 150 - CPU: 200107
N: 150 - CPU: 200210
N: 150 - CPU: 199833
N: 150 - CPU: 200320
N: 150 - CPU: 200280
N: 150 - CPU: 199896
N: 150 - CPU: 201894
N: 150 - CPU: 200062
N: 150 - CPU: 200407
N: 150 - CPU: 200027
N: 150 - CPU: 200070
N: 150 - CPU: 200112
N: 150 - CPU: 200050
N: 150 - CPU: 200253
N: 150 - CPU: 200200
N: 150 - CPU: 200238
N: 150 - CPU: 200010
N: 150 - CPU: 200238
N: 150 - CPU: 200310
N: 150 - CPU: 199801
N: 150 - CPU: 200120
N: 150 - CPU: 199968
N: 150 - CPU: 200055
N: 150 - CPU: 200207
N: 150 - CPU: 200167
N: 150 - CPU: 200292
N: 150 - CPU: 200053
N: 150 - CPU: 200157
N: 150 - CPU: 200076
N: 150 - CPU: 200204
N: 150 - CPU: 200092
N: 150 - CPU: 200076
N: 150 - CPU: 200150
N: 150 - CPU: 200108
N: 150 - CPU: 200114
N: 150 - CPU: 200125
N: 150 - CPU: 199990
N: 150 - CPU: 200266
N: 150 - CPU: 200096
N: 150 - CPU: 200263
N: 150 - CPU: 200130
N: 150 - CPU: 200168
N: 150 - CPU: 200039
N: 150 - CPU: 199927
N: 150 - CPU: 200054
N: 150 - CPU: 199891
N: 150 - CPU: 200052
N: 150 - CPU: 200007
N: 150 - CPU: 200157
N: 150 - CPU: 200197
N: 150 - CPU: 200249
N: 150 - CPU: 200013
N: 150 - CPU: 211967
N: 150 - CPU: 217833
N: 150 - CPU: 334283
N: 150 - CPU: 207322
N: 150 - CPU: 207764
N: 150 - CPU: 208112
N: 150 - CPU: 206546
N: 150 - CPU: 205950
N: 150 - CPU: 206128
N: 150 - CPU: 205451
N: 150 - CPU: 200981
N: 150 - CPU: 200273
N: 150 - CPU: 200398
N: 150 - CPU: 262921
N: 150 - CPU: 217966
N: 150 - CPU: 206683
N: 150 - CPU: 206425
N: 150 - CPU: 202564
N: 150 - CPU: 201147
N: 150 - CPU: 200567
N: 150 - CPU: 200249
N: 180 - CPU: 314894
N: 180 - CPU: 312897
N: 180 - CPU: 376265
N: 180 - CPU: 313634
N: 180 - CPU: 312759
N: 180 - CPU: 312677
N: 180 - CPU: 312519
N: 180 - CPU: 312135
N: 180 - CPU: 312167
N: 180 - CPU: 312219
N: 180 - CPU: 312328
N: 180 - CPU: 316989
